ASSET	HOUSE	            ASSETVAL	                dist
    5	    5	  -4.449600000000001	   0.000000000000000
    5	    6	 -11.624000000000002	   0.000981551747820
    6	    0	   0.400000000000000	   0.011857698549233
    6	    1	  -1.983360000000000	   0.004282583089471
    6	    2	  -2.579200000000001	   0.006438511281986
    6	    3	  -3.175040000000001	   0.000050534800676
    6	    4	  -3.770880000000000	   0.000000000000000
    6	    5	  -4.366720000000001	   0.000000000000000
    6	    6	 -11.516800000000002	   0.001242390386995
    7	    0	   0.466666666666667	   0.009871901063307
    7	    1	  -1.908586666666667	   0.003652104593856
    7	    2	  -2.502400000000001	   0.006563464722980
    7	    3	  -3.096213333333334	   0.000054674636866
    7	    4	  -3.690026666666667	   0.000000000000000
    7	    5	  -4.283840000000001	   0.000000000000000
    7	    6	 -11.409600000000001	   0.001309099837067
    8	    0	   0.533333333333333	   0.008496047398896
    8	    1	  -1.833813333333334	   0.003432313497101
    8	    2	  -2.425600000000001	   0.006588043700428
    8	    3	  -3.017386666666667	   0.000059414241308
    8	    4	  -3.609173333333334	   0.000000000000000
    8	    5	  -4.200960000000001	   0.000000000000000
    8	    6	 -11.302400000000002	   0.001448790175036
    9	    0	   0.600000000000000	   0.005351383344767
    9	    1	  -1.759040000000000	   0.003236642490679
    9	    2	  -2.348800000000001	   0.006510171903757
    9	    3	  -2.938560000000001	   0.000064939922140
    9	    4	  -3.528320000000000	   0.000000000000000
    9	    5	  -4.118080000000001	   0.000000000000000
    9	    6	 -11.195200000000002	   0.001556796498004
   10	    0	   0.666666666666667	   0.000004025139453
   10	    1	  -1.684266666666667	   0.003237167816245
   10	    2	  -2.272000000000001	   0.006232106449245
   10	    3	  -2.859733333333334	   0.000070297936625
   10	    4	  -3.447466666666667	   0.000000000000000
   10	    5	  -4.035200000000001	   0.000000000000000
   10	    6	 -11.088000000000001	   0.001632863298498
   11	    0	   0.733333333333333	   0.000002998891919
   11	    1	  -1.609493333333334	   0.002987841986876
   11	    2	  -2.195200000000001	   0.006165002747099
   11	    3	  -2.780906666666667	   0.000076155971651
   11	    4	  -3.366613333333333	   0.000000000000000
   11	    5	  -3.952320000000001	   0.000000000000000
   11	    6	 -10.980800000000002	   0.001737703035124
   12	    0	   0.800000000000000	   0.000004859962654
   12	    1	  -1.534720000000000	   0.002978349222192
   12	    2	  -2.118400000000000	   0.005943392691903
   12	    3	  -2.702080000000000	   0.000082027841162
   12	    4	  -3.285760000000000	   0.000000000000000
   12	    5	  -3.869440000000001	   0.000000000000000
   12	    6	 -10.873600000000001	   0.001810525749275
   13	    0	   0.866666666666667	   0.000005599650664
   13	    1	  -1.459946666666667	   0.002858867506272
   13	    2	  -2.041600000000000	   0.005947741490236
   13	    3	  -2.623253333333334	   0.000090173711818
   13	    4	  -3.204906666666667	   0.000000000000000
   13	    5	  -3.786560000000001	   0.000000000000000
   13	    6	 -10.766400000000001	   0.001873867694932
   14	    0	   0.933333333333333	   0.000004221419917
   14	    1	  -1.385173333333334	   0.002783977030187
   14	    2	  -1.964800000000001	   0.005830692260816
   14	    3	  -2.544426666666667	   0.000101570790835
   14	    4	  -3.124053333333333	   0.000000000000000
   14	    5	  -3.703680000000001	   0.000000000000000
   14	    6	 -10.659200000000002	   0.001952131803323
   15	    0	   1.000000000000000	   0.000001889770928
   15	    1	  -1.310400000000000	   0.002656555730915
   15	    2	  -1.888000000000001	   0.005773757739166
   15	    3	  -2.465600000000001	   0.000114467293423
   15	    4	  -3.043200000000000	   0.000000000000000
   15	    5	  -3.620800000000000	   0.000000000000000
   15	    6	 -10.552000000000001	   0.002136798617997
   16	    0	   1.066666666666667	   0.000001504310560
   16	    1	  -1.235626666666667	   0.002624258979431
   16	    2	  -1.811200000000000	   0.005719599176003
